id,color_info
7660981813466,Rosebud (#c73438)
7660966052058,
7660987351258,
7660969263322,Rosebud (#c73438)
7660986368218,
7660986695898,
7660988170458,
7660962906330,
6762855530578,Cream (#feeddc)
7660976734426,Rosebud (#c73438)
7660971229402,Rosebud (#c73438)
7660984303834,
7660985450714,
6678186164306,Black (#000000)
7660964610266,"Cream (#feeddc),Black (#000000)"
7122394775708,"Cream (#feeddc),Black (#000000)"
7624110964954,"Cream (#feeddc),Amber (#ffbf00),Black (#000000)"
7024296460444,"Cream (#feeddc),White (#ffffff),Black (#000000)"
5921540472988,
7676061679834,Black (#000000)
7675988902106,
7675996045530,
7676064137434,
7799481663720,
7675992539354,
7676059844826,
7675987853530,
7675993981146,
6171827634332,
7649287995610,"Palm (#728636),Sweet (#db74df),Sweet Chili Heat (#d8460f),Hot (#ee1285)"
7649284915418,"Jet (#343434),Hot (#ee1285),Palm (#728636),Desert Plum (#3c2f42),First Place (#2a16e8)"
7024293249180,
6752677036188,Antique White (#faebd7)
6678175055954,Oyster (#99976a)
6750399856796,
6750416830620,"Atlantic Blue (#05557f),Pink Stripe (#be1d7d),Antique White (#faebd7)"
7634436554970,
6750621499548,Ice (#d6fffa)
6870964502610,
6750466146460,
6750448812188,
6750441078940,Antique White (#faebd7)
6750437081244,Dusty Pink (#a46e76)
5765366874268,"First Place (#2a16e8),Sweet Chili Heat (#d8460f),Jet (#343434),Hot (#ee1285)"
6750434853020,
6750430986396,
7616426901722,
7628591300826,Jade (#00a86b)
6762852450386,Forest (#2e5e45)
7616429326554,
7628592546010,Jade (#00a86b)
7616430047450,
7616430309594,
7043148677276,"Sky Blue (#73abeb),Tangy (#e5b129)"
7628716343514,
7628800000218,White (#ffffff)
7648167919834,"Bright Pink (#ff58be),Sky Blue (#73abeb)"
7628588875994,Jade (#00a86b)
5765915639964,Black (#000000)
5744971939996,"Black (#000000),White (#ffffff)"
5744694198428,"Pine (#156149),Brick (#a3331e),Navy (#000080),White (#ffffff),Black (#000000),Eggplant (#641647)"
5744988586140,Black (#000000)
7134122377372,Triangle (#3faced)
7134117363868,"Pine (#156149),Black (#000000)"
7134126047388,"Side (#af3106),Pine (#156149),Brick (#a3331e),Poppy (#d71405),Black (#000000)"
7620838719706,Poppy (#d71405)
